timestamps,open,high,low,close,volume,amount
2026-05-12 16:55:00,79970.00000000,80076.41000000,79929.84000000,80000.01000000,70.17891000,5615866.86772640
2026-05-12 17:00:00,80000.01000000,80131.40000000,79951.05000000,80107.64000000,57.03801000,4565535.70144560
2026-05-12 17:05:00,80107.64000000,80141.77000000,80057.38000000,80072.11000000,38.41374000,3077910.74210460
2026-05-12 17:10:00,80072.12000000,80211.41000000,80057.38000000,80208.37000000,67.12408000,5380348.31469900
2026-05-12 17:15:00,80208.37000000,80376.29000000,80208.36000000,80349.75000000,55.42326000,4451035.95458200
2026-05-12 17:20:00,80344.98000000,80444.97000000,80344.97000000,80413.68000000,58.49193000,4702613.49225770
2026-05-12 17:25:00,80413.68000000,80446.17000000,80380.00000000,80426.27000000,34.29771000,2758113.34040560
2026-05-12 17:30:00,80426.27000000,80494.99000000,80415.07000000,80493.52000000,21.50921000,1730597.77379450
2026-05-12 17:35:00,80493.51000000,80500.00000000,80438.83000000,80470.01000000,27.52169000,2214945.47125240
2026-05-12 17:40:00,80470.01000000,80515.62000000,80446.93000000,80515.61000000,19.94599000,1605268.56724910
2026-05-12 17:45:00,80515.62000000,80530.06000000,80466.00000000,80485.73000000,25.01350000,2013734.49437260
2026-05-12 17:50:00,80485.73000000,80593.06000000,80475.24000000,80566.84000000,47.57763000,3831996.23016520
2026-05-12 17:55:00,80566.85000000,80588.49000000,80504.00000000,80527.69000000,34.28582000,2761538.13625780
2026-05-12 18:00:00,80527.69000000,80552.00000000,80430.00000000,80508.14000000,43.59470000,3509551.12797120
2026-05-12 18:05:00,80508.14000000,80538.44000000,80487.12000000,80536.06000000,19.64330000,1581746.79094330
2026-05-12 18:10:00,80536.07000000,80545.49000000,80487.47000000,80545.00000000,12.08948000,973408.97407400
2026-05-12 18:15:00,80544.99000000,80568.94000000,80516.47000000,80520.14000000,50.66902000,4081710.21371300
2026-05-12 18:20:00,80520.14000000,80572.96000000,80520.14000000,80536.08000000,15.28621000,1231380.09690930
2026-05-12 18:25:00,80536.08000000,80572.96000000,80472.95000000,80500.00000000,72.51422000,5838270.36645510
2026-05-12 18:30:00,80500.00000000,80572.96000000,80499.99000000,80572.95000000,19.88626000,1601677.36483220
2026-05-12 18:35:00,80572.96000000,80652.01000000,80558.61000000,80586.00000000,40.45741000,3261455.44102810
2026-05-12 18:40:00,80586.69000000,80688.28000000,80586.68000000,80667.54000000,22.75890000,1835426.56279850
2026-05-12 18:45:00,80667.53000000,80700.00000000,80620.00000000,80645.51000000,22.29073000,1798017.94773060
2026-05-12 18:50:00,80645.50000000,80752.00000000,80645.50000000,80730.35000000,26.06694000,2104189.99873440
2026-05-12 18:55:00,80730.36000000,80763.81000000,80679.11000000,80679.12000000,22.10093000,1784259.49737420
2026-05-12 19:00:00,80679.11000000,80774.92000000,80679.11000000,80728.96000000,30.46906000,2459601.77877650
2026-05-12 19:05:00,80728.96000000,80786.00000000,80709.99000000,80782.01000000,30.56180000,2467944.48931880
2026-05-12 19:10:00,80782.01000000,80836.85000000,80782.00000000,80815.27000000,22.61476000,1827593.63417410
2026-05-12 19:15:00,80815.27000000,80836.85000000,80767.14000000,80767.14000000,40.61891000,3282067.85801320
2026-05-12 19:20:00,80767.15000000,80781.38000000,80720.19000000,80759.99000000,31.07444000,2509777.76842010
2026-05-12 19:25:00,80760.00000000,80774.94000000,80716.14000000,80716.15000000,19.55317000,1579023.33027900
2026-05-12 19:30:00,80716.14000000,80804.00000000,80716.14000000,80800.10000000,26.27419000,2121971.44303660
2026-05-12 19:35:00,80800.10000000,80812.74000000,80741.96000000,80786.00000000,23.46353000,1895111.11684820
2026-05-12 19:40:00,80786.00000000,80806.59000000,80737.40000000,80751.70000000,37.71676000,3046604.15151090
2026-05-12 19:45:00,80751.70000000,80796.12000000,80751.70000000,80777.13000000,19.96836000,1612890.24830750
2026-05-12 19:50:00,80777.13000000,80874.42000000,80777.13000000,80807.23000000,28.52446000,2305502.97359190
2026-05-12 19:55:00,80807.24000000,80842.83000000,80807.24000000,80834.64000000,35.38214000,2859753.23696160
2026-05-12 20:00:00,80835.30000000,80896.25000000,80801.68000000,80880.07000000,63.09417000,5101847.84152010
2026-05-12 20:05:00,80880.01000000,80880.01000000,80803.40000000,80803.41000000,81.90435000,6622554.38180190
2026-05-12 20:10:00,80803.41000000,80803.41000000,80738.00000000,80766.59000000,33.00352000,2666116.90440930
2026-05-12 20:15:00,80766.58000000,80807.36000000,80748.77000000,80799.27000000,11.99737000,969240.85283020
2026-05-12 20:20:00,80799.27000000,80807.36000000,80770.00000000,80796.86000000,11.43034000,923429.34296510
2026-05-12 20:25:00,80796.86000000,80818.96000000,80787.90000000,80809.99000000,6.41906000,518691.47610270
2026-05-12 20:30:00,80809.99000000,80810.00000000,80723.05000000,80743.07000000,13.72827000,1108819.03827900
2026-05-12 20:35:00,80743.07000000,80743.10000000,80667.39000000,80667.39000000,16.09785000,1299254.49755420
2026-05-12 20:40:00,80667.40000000,80700.00000000,80644.27000000,80700.00000000,22.99522000,1854880.73733640
2026-05-12 20:45:00,80699.99000000,80706.69000000,80644.27000000,80644.27000000,9.01918000,727688.21681840
2026-05-12 20:50:00,80644.28000000,80700.00000000,80642.85000000,80700.00000000,10.08686000,813530.10111230
2026-05-12 20:55:00,80700.00000000,80713.24000000,80678.00000000,80696.87000000,12.72348000,1026714.53127240
2026-05-12 21:00:00,80696.87000000,80728.97000000,80674.34000000,80698.00000000,14.10510000,1138258.77066510
2026-05-12 21:05:00,80698.00000000,80738.00000000,80698.00000000,80728.82000000,16.55856000,1336639.07234940
2026-05-12 21:10:00,80728.81000000,80728.82000000,80699.99000000,80699.99000000,8.67226000,699950.84103310
2026-05-12 21:15:00,80699.99000000,80728.97000000,80690.04000000,80698.01000000,11.58800000,935223.61705690
2026-05-12 21:20:00,80698.01000000,80698.01000000,80656.79000000,80663.30000000,8.80052000,709923.46280910
2026-05-12 21:25:00,80663.30000000,80663.30000000,80630.00000000,80655.81000000,20.97155000,1691179.09685350
2026-05-12 21:30:00,80655.81000000,80655.82000000,80568.60000000,80568.61000000,21.57777000,1739489.64923210
2026-05-12 21:35:00,80568.61000000,80597.34000000,80548.00000000,80570.01000000,21.63196000,1742990.66178440
2026-05-12 21:40:00,80570.00000000,80596.31000000,80544.33000000,80583.65000000,19.31330000,1556187.71971350
2026-05-12 21:45:00,80583.65000000,80593.96000000,80500.00000000,80500.00000000,15.69583000,1264369.37638640
2026-05-12 21:50:00,80500.01000000,80552.91000000,80497.00000000,80545.97000000,20.50728000,1651451.74294740
2026-05-12 21:55:00,80545.97000000,80600.00000000,80543.40000000,80587.44000000,23.11636000,1862544.40732920
2026-05-12 22:00:00,80587.45000000,80786.00000000,80587.45000000,80761.07000000,33.36702000,2692507.33151350
2026-05-12 22:05:00,80761.07000000,80791.94000000,80682.00000000,80682.00000000,23.61286000,1906717.26140810
2026-05-12 22:10:00,80682.01000000,80688.69000000,80620.33000000,80628.00000000,14.98495000,1208693.02099000
2026-05-12 22:15:00,80628.01000000,80689.77000000,80616.96000000,80689.77000000,10.94167000,882513.94896650
2026-05-12 22:20:00,80689.78000000,80699.56000000,80662.30000000,80663.19000000,5.77450000,465854.11598960
2026-05-12 22:25:00,80663.20000000,80663.20000000,80632.15000000,80657.97000000,7.60756000,613555.94350360
2026-05-12 22:30:00,80657.97000000,80719.54000000,80657.00000000,80660.04000000,21.61180000,1743374.03565280
2026-05-12 22:35:00,80660.04000000,80668.39000000,80625.14000000,80668.38000000,11.16917000,900788.57026530
2026-05-12 22:40:00,80668.38000000,80670.00000000,80649.40000000,80659.99000000,4.15230000,334918.62448280
2026-05-12 22:45:00,80660.00000000,80667.64000000,80640.00000000,80645.58000000,7.34107000,592055.23365190
2026-05-12 22:50:00,80645.59000000,80700.00000000,80645.58000000,80692.01000000,5.08352000,410094.51811150
2026-05-12 22:55:00,80692.00000000,80719.54000000,80656.43000000,80656.43000000,5.46267000,440805.14929610
2026-05-12 23:00:00,80656.44000000,80714.00000000,80638.51000000,80680.56000000,29.34627000,2367720.68204520
2026-05-12 23:05:00,80680.56000000,80680.56000000,80628.00000000,80665.17000000,9.71868000,783850.95399430
2026-05-12 23:10:00,80665.18000000,80706.00000000,80573.70000000,80608.50000000,22.02513000,1776435.28649610
2026-05-12 23:15:00,80608.51000000,80634.00000000,80601.90000000,80622.01000000,13.11168000,1057015.13208880
2026-05-12 23:20:00,80622.01000000,80638.00000000,80606.12000000,80638.00000000,9.54889000,769849.51559380
2026-05-12 23:25:00,80638.00000000,80669.94000000,80638.00000000,80657.89000000,7.05414000,568976.80955860
2026-05-12 23:30:00,80657.90000000,80664.28000000,80553.25000000,80553.26000000,39.04378000,3148355.04271970
2026-05-12 23:35:00,80553.25000000,80561.29000000,80488.16000000,80549.99000000,24.14862000,1944420.29488300
2026-05-12 23:40:00,80550.00000000,80558.00000000,80502.72000000,80515.24000000,20.33449000,1637401.87729890
2026-05-12 23:45:00,80515.25000000,80535.42000000,80439.91000000,80483.91000000,41.45211000,3335765.83176710
2026-05-12 23:50:00,80483.90000000,80503.27000000,80460.00000000,80485.39000000,15.08923000,1214439.90226400
2026-05-12 23:55:00,80485.39000000,80520.64000000,80469.90000000,80504.47000000,16.53421000,1330948.11764880
2026-05-13 00:00:00,80504.47000000,80533.60000000,80412.15000000,80470.00000000,28.59609000,2301112.83623570
2026-05-13 00:05:00,80469.99000000,80515.49000000,80457.57000000,80462.97000000,21.01415000,1691546.71314370
2026-05-13 00:10:00,80462.98000000,80495.62000000,80425.20000000,80460.00000000,15.93519000,1282172.77450290
2026-05-13 00:15:00,80460.00000000,80630.00000000,80457.97000000,80608.00000000,34.53728000,2782059.24772870
2026-05-13 00:20:00,80607.99000000,80719.77000000,80588.00000000,80701.93000000,21.89937000,1766451.23567680
2026-05-13 00:25:00,80701.94000000,80749.17000000,80640.83000000,80654.44000000,16.91291000,1365120.01369010
2026-05-13 00:30:00,80654.44000000,80709.45000000,80634.00000000,80642.74000000,25.27266000,2039016.05358600
2026-05-13 00:35:00,80642.74000000,80742.68000000,80642.74000000,80736.62000000,20.63694000,1665613.43833290
2026-05-13 00:40:00,80736.61000000,80768.95000000,80733.35000000,80740.10000000,16.12088000,1301726.64635270
2026-05-13 00:45:00,80740.10000000,80740.10000000,80686.58000000,80692.89000000,7.04218000,568328.52193540
2026-05-13 00:50:00,80692.89000000,80692.90000000,80612.91000000,80650.39000000,10.80477000,871417.50332070
2026-05-13 00:55:00,80650.40000000,80728.44000000,80650.39000000,80718.00000000,12.04201000,971921.09428330
2026-05-13 01:00:00,80718.00000000,80739.91000000,80683.12000000,80739.90000000,12.10371000,976930.77698470
